"","DEPARTMENT","MUNICIPALITY","PRECINCT","CC","FPV","MTS","UCS","MAS","X21F","PDC","MNR","PAN.BOL","VALID","BLANK","NULL.","VOTES","ELECTORATE","MAS.vote","Turnout"
"42","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",165,1,0,0,24,1,1,1,0,193,1,5,199,225,0.124,0.884
"43","Chuquisaca","Sucre","Facultad de Tecnología",156,0,0,0,24,4,11,0,1,196,1,7,204,230,0.122,0.887
"44","Chuquisaca","Sucre","Facultad de Tecnología",144,0,1,0,32,0,7,1,0,185,0,3,188,228,0.173,0.825
"45","Chuquisaca","Sucre","Facultad de Tecnología",140,0,0,2,34,1,17,2,1,197,1,4,202,229,0.173,0.882
"46","Chuquisaca","Sucre","Facultad de Tecnología",158,0,0,0,26,5,12,1,2,204,3,5,212,235,0.127,0.902
"47","Chuquisaca","Sucre","Facultad de Tecnología",119,0,0,0,43,4,24,0,3,193,1,4,198,231,0.223,0.857
"48","Chuquisaca","Sucre","Facultad de Tecnología",150,1,0,0,38,1,11,0,0,201,1,6,208,228,0.189,0.912
"49","Chuquisaca","Sucre","Facultad de Tecnología",139,0,2,1,35,2,8,1,1,189,2,4,195,230,0.185,0.848
"50","Chuquisaca","Sucre","Facultad de Tecnología",153,1,0,0,42,3,12,1,0,212,1,3,216,232,0.198,0.931
"51","Chuquisaca","Sucre","Facultad de Tecnología",148,1,0,0,32,2,14,1,0,198,2,6,206,237,0.162,0.869
"52","Chuquisaca","Sucre","Facultad de Tecnología",139,0,2,2,28,3,14,1,0,189,0,9,198,235,0.148,0.843
"53","Chuquisaca","Sucre","Facultad de Tecnología",139,0,0,0,40,0,13,0,2,194,0,8,202,231,0.206,0.874
"54","Chuquisaca","Sucre","Facultad de Tecnología",132,0,1,2,36,3,14,0,3,191,0,5,196,234,0.188,0.838
"55","Chuquisaca","Sucre","Facultad de Tecnología",149,0,1,0,25,1,8,2,2,188,2,4,194,224,0.133,0.866
"56","Chuquisaca","Sucre","Facultad de Tecnología",142,0,0,0,35,2,14,1,0,194,0,4,198,222,0.18,0.892
"57","Chuquisaca","Sucre","Facultad de Tecnología",139,0,1,1,36,5,14,0,0,196,0,7,203,232,0.184,0.875
