"","Department","Municipality","Precinct","Turnout","MAS.vote","Fraud.type"
"208","Chuquisaca","Sucre","Kinder Municipal",0.921,0.151,"Clean"
"209","Chuquisaca","Sucre","Kinder Municipal",0.877,0.154,"Clean"
"210","Chuquisaca","Sucre","Kinder Municipal",0.924,0.211,"Clean"
"211","Chuquisaca","Sucre","Kinder Municipal",0.886,0.134,"Clean"
"212","Chuquisaca","Sucre","Colegio Domingo Sabio",0.927,0.282,"Clean"
"213","Chuquisaca","Sucre","Colegio Domingo Sabio",0.913,0.158,"Clean"
"214","Chuquisaca","Sucre","Colegio Domingo Sabio",0.904,0.221,"Clean"
"215","Chuquisaca","Sucre","Colegio Domingo Sabio",0.905,0.268,"Clean"
"216","Chuquisaca","Sucre","Colegio Domingo Sabio",0.875,0.236,"Clean"
"217","Chuquisaca","Sucre","Colegio Domingo Sabio",0.899,0.251,"Clean"
"218","Chuquisaca","Sucre","Colegio Domingo Sabio",0.889,0.273,"Clean"
"219","Chuquisaca","Sucre","Colegio Domingo Sabio",0.91,0.2,"Clean"
"220","Chuquisaca","Sucre","Colegio Domingo Sabio",0.914,0.186,"Clean"
"221","Chuquisaca","Sucre","Colegio Domingo Sabio",0.93,0.303,"Clean"
"222","Chuquisaca","Sucre","Colegio Domingo Sabio",0.902,0.266,"Clean"
"223","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.866,0.168,"Clean"
"224","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.884,0.109,"Clean"
"225","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.858,0.133,"Clean"
"226","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.84,0.147,"Clean"
"227","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.91,0.112,"Clean"
"228","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.888,0.099,"Clean"
"229","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.873,0.1,"Clean"
"230","Chuquisaca","Sucre","Liceo María Josefa Mujia",0.913,0.139,"Clean"
"231","Chuquisaca","Sucre","Unidad Educativa Ruffo",0.975,0.394,"BBS"
"232","Chuquisaca","Sucre","Unidad Educativa Ruffo",0.953,0.425,"BBS"
"233","Chuquisaca","Sucre","Unidad Educativa Ruffo",0.957,0.416,"BBS"
"234","Chuquisaca","Sucre","Unidad Educativa Ruffo",0.946,0.488,"Clean"
"235","Chuquisaca","Sucre","Unidad Educativa Ruffo",0.902,0.417,"Clean"
"236","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.786,0.125,"Clean"
"237","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.822,0.165,"Clean"
"238","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.844,0.168,"Clean"
"239","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.832,0.166,"Clean"
"240","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.864,0.189,"Clean"
"241","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.842,0.133,"Clean"
"242","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.806,0.156,"Clean"
"243","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.853,0.121,"Clean"
"244","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.868,0.154,"Clean"
"245","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.801,0.123,"Clean"
"246","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.866,0.173,"Clean"
"247","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.838,0.145,"Clean"
"248","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.823,0.163,"Clean"
"249","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.811,0.124,"Clean"
"250","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.853,0.132,"Clean"
"251","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.852,0.188,"Clean"
"252","Chuquisaca","Sucre","U.E. Eduardo Abaroa",0.824,0.15,"Clean"
"253","Chuquisaca","Sucre","Col. Sagrado Corazon",0.851,0.101,"Clean"
"254","Chuquisaca","Sucre","Col. Sagrado Corazon",0.875,0.155,"Clean"
"255","Chuquisaca","Sucre","Col. Sagrado Corazon",0.844,0.121,"Clean"
