Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija,Turnout,MAS.vote,Pred_Fraud_num,Pred_Fraud_type,Department,Precinct,Municipality
0,1,0,0,0,0,0,0,0,0.817,0.285,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.841,0.318,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.86,0.259,0,Clean,Chuquisaca,Salon Multifuncional La Hoyada,Sucre
0,1,0,0,0,0,0,0,0,0.929,0.243,0,Clean,Chuquisaca,Salon Multifuncional La Hoyada,Sucre
0,1,0,0,0,0,0,0,0,0.833,0.221,0,Clean,Chuquisaca,Salon Multifuncional La Hoyada,Sucre
0,1,0,0,0,0,0,0,0,0.905,0.261,0,Clean,Chuquisaca,Salon Multifuncional La Hoyada,Sucre
0,1,0,0,0,0,0,0,0,0.858,0.144,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.915,0.152,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.881,0.236,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.193,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.907,0.212,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.902,0.186,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.874,0.139,0,Clean,Chuquisaca,U.E. San Roque Nivel Inicial,Sucre
0,1,0,0,0,0,0,0,0,0.924,0.158,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.862,0.146,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.861,0.096,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.911,0.126,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.883,0.146,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.891,0.143,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.903,0.13,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.885,0.148,0,Clean,Chuquisaca,Col. Don Bosco,Sucre
0,1,0,0,0,0,0,0,0,0.91,0.157,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.893,0.122,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.922,0.165,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.91,0.152,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.894,0.179,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.921,0.151,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.877,0.154,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.924,0.211,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.886,0.134,0,Clean,Chuquisaca,Kinder Municipal,Sucre
0,1,0,0,0,0,0,0,0,0.927,0.282,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.913,0.158,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.904,0.221,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.905,0.268,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.875,0.236,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.899,0.251,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.889,0.273,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.91,0.2,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.914,0.186,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.93,0.303,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.902,0.266,0,Clean,Chuquisaca,Colegio Domingo Sabio,Sucre
0,1,0,0,0,0,0,0,0,0.866,0.168,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.884,0.109,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.858,0.133,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.84,0.147,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.91,0.112,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.888,0.099,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.873,0.1,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.913,0.139,0,Clean,Chuquisaca,Liceo María Josefa Mujia,Sucre
0,1,0,0,0,0,0,0,0,0.975,0.394,1,BBS,Chuquisaca,Unidad Educativa Ruffo,Sucre
0,1,0,0,0,0,0,0,0,0.953,0.425,1,BBS,Chuquisaca,Unidad Educativa Ruffo,Sucre
0,1,0,0,0,0,0,0,0,0.957,0.416,1,BBS,Chuquisaca,Unidad Educativa Ruffo,Sucre
0,1,0,0,0,0,0,0,0,0.946,0.488,1,BBS,Chuquisaca,Unidad Educativa Ruffo,Sucre
